ID,Completed_Date,Employee_ID,Content_ID,Content_Title,Completion_Status,URL,Estimated_Learning_Minutes
37,,PN-000065,CONT-41552,Re-contextualized cohesive core,Failed,https://bailey.com/,125
38,,PN-000075,CONT-16377,Total analyzing projection,Not Started,https://wright.com/,40
39,,PN-000037,CONT-88317,Self-enabling tertiary service-desk,Failed,http://www.jacobs-blackburn.com/,349
40,,PN-000087,CONT-47453,Function-based dynamic portal,Failed,http://www.wise.biz/,289
41,2024-09-04,PN-000002,CONT-66482,Reverse-engineered attitude-oriented model,Completed,http://gallegos.com/,83
42,,PN-000034,CONT-62855,Profit-focused national protocol,Not Started,https://jenkins.com/,202
43,,PN-000006,CONT-16705,Customer-focused scalable orchestration,Failed,https://www.goodman-conrad.biz/,306
44,,PN-000072,CONT-57516,Total fault-tolerant ability,In Progress,http://davis.biz/,298
45,2024-12-06,PN-000037,CONT-60639,Streamlined executive superstructure,Completed,https://www.brooks.com/,273
46,,PN-000058,CONT-91689,Exclusive mobile contingency,Not Started,http://olsen.com/,327
47,,PN-000016,CONT-22672,Virtual content-based firmware,In Progress,https://durham.com/,216
48,,PN-000048,CONT-83116,Implemented attitude-oriented implementation,Not Started,http://peterson.com/,202
49,,PN-000097,CONT-36090,Polarized mobile service-desk,In Progress,http://www.adams.org/,323
50,,PN-000066,CONT-75546,Balanced bandwidth-monitored data-warehouse,Failed,http://meyer.info/,35
51,2024-10-29,PN-000006,CONT-27961,Mandatory real-time interface,Completed,https://wu.com/,185
52,,PN-000061,CONT-29521,Synchronized impactful implementation,Failed,http://drake-smith.biz/,325
53,,PN-000066,CONT-52987,Up-sized client-driven algorithm,In Progress,http://walton.info/,328
54,,PN-000041,CONT-61505,Profound incremental protocol,In Progress,http://www.rosario.com/,330
55,,PN-000095,CONT-87820,Balanced user-facing Graphic Interface,Not Started,https://www.washington.com/,187
56,,PN-000065,CONT-83783,Optimized methodical protocol,Failed,http://lawson-joseph.net/,168
57,2025-08-20,PN-000061,CONT-58281,Universal motivating alliance,Completed,http://turner.net/,184
58,2025-11-09,PN-000087,CONT-64596,Persistent composite knowledge user,Completed,http://fernandez.com/,313
59,2024-02-04,PN-000040,CONT-88238,Universal 4thgeneration complexity,Completed,https://robinson-scott.info/,257
60,,PN-000034,CONT-16731,Synchronized bottom-line secured line,In Progress,http://pope.com/,313
61,,PN-000062,CONT-78712,Re-engineered zero administration policy,In Progress,http://kent-paul.biz/,337
62,,PN-000093,CONT-29369,Streamlined secondary toolset,Failed,https://www.green.com/,139
63,2024-02-08,PN-000005,CONT-35006,Mandatory user-facing parallelism,Completed,http://www.richardson.org/,24
64,,PN-000057,CONT-64890,User-centric 24hour function,Not Started,http://www.whitney-flores.com/,92
65,,PN-000053,CONT-63788,Synergistic clear-thinking model,In Progress,http://www.smith-phelps.com/,271
66,,PN-000100,CONT-18163,Digitized explicit definition,Failed,https://guzman.com/,85
67,,PN-000067,CONT-83516,Right-sized foreground function,In Progress,http://berry.com/,181
68,,PN-000085,CONT-78875,Triple-buffered homogeneous approach,Failed,https://www.clark.com/,207
69,,PN-000041,CONT-70249,Vision-oriented context-sensitive matrix,In Progress,https://gaines.biz/,287
70,,PN-000044,CONT-98587,Mandatory interactive service-desk,Not Started,https://myers-rose.com/,344
71,,PN-000089,CONT-89963,Horizontal tangible core,Not Started,https://www.morris.com/,262
72,,PN-000025,CONT-46569,Triple-buffered exuding knowledgebase,In Progress,http://www.dominguez-carter.com/,300
73,,PN-000039,CONT-49008,Expanded didactic website,In Progress,http://www.barber-johnston.com/,162
74,,PN-000091,CONT-74094,Multi-tiered interactive service-desk,In Progress,http://www.kelly.com/,177
75,,PN-000062,CONT-83464,Business-focused bottom-line migration,Not Started,https://sims.com/,155
76,2023-12-13,PN-000037,CONT-85166,Front-line hybrid matrix,Completed,https://www.mcgee.com/,293
77,,PN-000049,CONT-55237,Vision-oriented maximized projection,Failed,https://delgado.com/,89
78,2024-02-16,PN-000038,CONT-47700,Stand-alone static migration,Completed,http://www.berry.com/,55
79,,PN-000045,CONT-95979,Reverse-engineered contextually-based info-mediaries,Failed,https://duncan-garcia.com/,146
80,,PN-000096,CONT-38047,Universal national contingency,Failed,https://www.hawkins-herrera.net/,118
81,,PN-000069,CONT-83664,Pre-emptive asymmetric model,Not Started,http://www.merritt.com/,154
82,2023-11-22,PN-000018,CONT-90698,Organized foreground capability,Completed,http://www.harris.com/,315
83,,PN-000031,CONT-16653,Configurable bottom-line middleware,In Progress,https://jackson.com/,357
84,,PN-000068,CONT-93616,Innovative 6thgeneration model,In Progress,https://ray.com/,134
85,2024-12-05,PN-000007,CONT-64172,Multi-channeled real-time monitoring,Completed,http://www.weiss.com/,184
86,,PN-000092,CONT-23178,Extended client-driven portal,Failed,http://anderson-dean.com/,85
87,,PN-000001,CONT-63334,Reactive eco-centric firmware,In Progress,https://www.bryant-duffy.biz/,349
88,,PN-000061,CONT-95267,Team-oriented client-server monitoring,Failed,http://www.oconnor.com/,117
89,,PN-000097,CONT-52096,Universal holistic open system,Not Started,http://stewart.biz/,161
90,2023-12-07,PN-000083,CONT-21725,Robust dynamic archive,Completed,https://www.rodriguez.com/,348
91,,PN-000074,CONT-80143,Multi-lateral full-range time-frame,In Progress,https://www.hill.biz/,34
92,,PN-000023,CONT-33040,Face-to-face homogeneous benchmark,Failed,http://www.chandler.info/,33
93,,PN-000051,CONT-34420,Cross-platform multi-tasking hardware,Failed,https://garcia.biz/,163
94,2024-03-30,PN-000005,CONT-49110,User-centric systematic toolset,Completed,https://anderson.com/,305
95,2025-03-13,PN-000078,CONT-53914,Digitized homogeneous open system,Completed,https://www.fowler.org/,160
96,,PN-000059,CONT-27589,Operative tertiary knowledgebase,Failed,http://lindsey-shaw.com/,273
97,,PN-000060,CONT-35272,Optimized multi-state structure,Not Started,http://hodge.com/,72
98,,PN-000043,CONT-70150,Cross-group scalable artificial intelligence,In Progress,http://www.martin.com/,346
99,,PN-000033,CONT-11846,User-friendly executive neural-net,In Progress,https://www.rhodes-randolph.com/,187
100,,PN-000038,CONT-33002,Polarized modular migration,In Progress,http://jensen.com/,327
101,,PN-000082,CONT-66059,Universal interactive standardization,Failed,https://www.guerrero.net/,278
102,2025-04-02,PN-000042,CONT-62538,Balanced real-time knowledge user,Completed,http://www.jones.net/,357
103,,PN-000013,CONT-28430,Multi-channeled actuating interface,In Progress,https://brooks.com/,259
104,,PN-000042,CONT-10895,Synergistic dynamic moratorium,In Progress,http://webb-baker.com/,148
105,,PN-000050,CONT-68554,User-centric responsive open system,In Progress,https://www.hickman-haley.net/,151
106,,PN-000043,CONT-86344,Automated maximized process improvement,Not Started,https://www.smith-stevens.com/,308
107,,PN-000002,CONT-95679,Multi-channeled bi-directional ability,Not Started,https://www.gomez-garcia.info/,199
108,,PN-000089,CONT-18142,Exclusive attitude-oriented moderator,In Progress,http://gentry.com/,356
109,,PN-000016,CONT-50213,Visionary stable extranet,Failed,http://brooks-diaz.com/,96
110,,PN-000052,CONT-25389,Public-key encompassing benchmark,Not Started,https://taylor.biz/,342
111,,PN-000038,CONT-90560,Adaptive heuristic strategy,Not Started,http://www.mitchell.biz/,128
112,,PN-000029,CONT-72676,Operative value-added groupware,In Progress,http://www.gonzalez.com/,93
113,,PN-000059,CONT-64505,Decentralized intangible matrix,Not Started,https://www.potter-deleon.biz/,296
114,,PN-000061,CONT-42435,Profit-focused uniform support,In Progress,https://www.rosario.com/,320
115,,PN-000011,CONT-79228,Distributed grid-enabled middleware,Failed,http://www.gregory.biz/,200
116,2025-11-01,PN-000010,CONT-18094,User-centric 24/7 Internet solution,Completed,https://tucker-hodges.com/,295
117,,PN-000065,CONT-85065,Secured coherent superstructure,In Progress,http://www.wang-lin.com/,289
118,,PN-000020,CONT-53007,Synchronized interactive customer loyalty,In Progress,https://www.cross.org/,281
119,2025-02-20,PN-000057,CONT-99167,Distributed discrete capability,Completed,http://hill.com/,120
120,,PN-000092,CONT-21919,Optimized 3rdgeneration pricing structure,Failed,http://www.james.com/,276
121,2025-04-13,PN-000058,CONT-69432,Focused directional Graphical User Interface,Completed,https://hicks.com/,82
122,,PN-000066,CONT-69873,Innovative bifurcated flexibility,Failed,https://dawson-wright.com/,303
123,,PN-000008,CONT-98181,Enterprise-wide 6thgeneration ability,Failed,http://mitchell.org/,172
124,2024-01-31,PN-000093,CONT-61897,Enterprise-wide eco-centric matrix,Completed,https://rodriguez-caldwell.net/,145
125,,PN-000001,CONT-85800,Visionary clear-thinking groupware,In Progress,https://maxwell.com/,52
126,,PN-000006,CONT-55158,Expanded optimal info-mediaries,Failed,http://www.soto.com/,47
127,2023-12-18,PN-000070,CONT-19046,Streamlined content-based core,Completed,https://www.mcmahon.com/,256
128,,PN-000005,CONT-63591,Innovative uniform leverage,Not Started,http://www.anderson.net/,107
129,,PN-000099,CONT-94085,Universal eco-centric task-force,In Progress,https://soto-wilson.biz/,345
130,,PN-000054,CONT-60132,Cloned mission-critical instruction set,Not Started,http://www.hill.org/,244
131,,PN-000049,CONT-20518,Centralized system-worthy core,Failed,https://patel.info/,353
132,,PN-000070,CONT-95660,Versatile multimedia info-mediaries,In Progress,https://nelson.com/,193
133,,PN-000016,CONT-80419,Reverse-engineered tangible access,In Progress,https://phelps-phillips.com/,216
134,,PN-000068,CONT-39188,Reactive bottom-line concept,In Progress,http://www.allen.com/,16
135,2025-09-26,PN-000097,CONT-49107,Future-proofed actuating project,Completed,http://www.wilson.com/,252
136,,PN-000087,CONT-79721,Inverse attitude-oriented strategy,Failed,https://www.villanueva-phillips.com/,209
137,,PN-000030,CONT-70375,Self-enabling 24/7 help-desk,In Progress,http://scott.net/,192
138,,PN-000020,CONT-34704,Switchable zero-defect time-frame,Not Started,http://scott.com/,72
139,,PN-000005,CONT-90599,Organic directional Graphic Interface,Failed,https://www.soto.info/,23
140,,PN-000031,CONT-18819,Focused upward-trending success,In Progress,https://barrera.info/,66
141,2024-03-30,PN-000077,CONT-68515,Enterprise-wide context-sensitive core,Completed,https://www.campbell.biz/,321
142,2025-04-04,PN-000087,CONT-42077,Ergonomic asymmetric circuit,Completed,http://gibson.biz/,37
143,,PN-000052,CONT-40715,Cross-platform uniform moderator,Failed,http://www.garcia.com/,291
144,2025-05-30,PN-000028,CONT-28367,Stand-alone 6thgeneration capacity,Completed,http://www.thomas-burton.com/,272
145,,PN-000038,CONT-85511,Advanced bi-directional moratorium,In Progress,https://www.taylor.info/,178
146,,PN-000074,CONT-41051,Diverse fault-tolerant groupware,Not Started,https://www.brown.com/,169
147,,PN-000019,CONT-64206,Self-enabling needs-based capability,In Progress,http://www.stephens.net/,168
148,2025-08-27,PN-000036,CONT-82970,Operative client-server ability,Completed,http://www.simmons.com/,317
149,,PN-000095,CONT-92050,Streamlined executive definition,In Progress,https://www.jackson-rodriguez.com/,233
150,,PN-000072,CONT-16145,Horizontal heuristic archive,Failed,https://www.mclean-gillespie.com/,191
151,,PN-000083,CONT-78742,Robust coherent conglomeration,Failed,https://white.com/,178
152,,PN-000090,CONT-63511,Secured executive hardware,Failed,http://stanley-cantu.com/,91
153,,PN-000039,CONT-34101,Adaptive coherent time-frame,Failed,http://myers.info/,290
154,,PN-000061,CONT-39536,Cloned bifurcated orchestration,In Progress,https://davis.com/,168
155,,PN-000091,CONT-70689,Visionary human-resource help-desk,In Progress,https://olson-dudley.org/,44
156,,PN-000072,CONT-64592,Sharable full-range challenge,Failed,http://dunn-ryan.info/,300
157,,PN-000068,CONT-60910,Public-key national emulation,In Progress,https://www.espinoza.com/,139
158,,PN-000033,CONT-53288,Total background encoding,In Progress,https://www.mcknight.com/,346
159,,PN-000011,CONT-58637,Realigned methodical challenge,Failed,http://www.ward-atkinson.com/,62
160,,PN-000069,CONT-16755,Implemented logistical circuit,In Progress,https://www.carey.com/,152
161,2024-02-12,PN-000049,CONT-19539,Total tertiary circuit,Completed,https://www.hanna.org/,111
162,,PN-000098,CONT-72835,Compatible mission-critical policy,In Progress,http://www.diaz.com/,121
163,,PN-000043,CONT-12009,Compatible 24/7 open system,Not Started,https://www.harrison.net/,123
164,2025-04-12,PN-000025,CONT-72773,Innovative methodical installation,Completed,https://dominguez.com/,139
165,,PN-000090,CONT-61987,Robust web-enabled conglomeration,In Progress,http://www.wall-frazier.info/,137
166,,PN-000071,CONT-47101,Reactive transitional firmware,Not Started,https://www.huynh-nelson.com/,209
167,,PN-000060,CONT-50425,Programmable homogeneous capacity,Not Started,http://brown.net/,148
168,,PN-000047,CONT-71080,Robust asynchronous solution,Failed,https://delgado-sullivan.biz/,65
169,,PN-000093,CONT-51973,Down-sized actuating website,Failed,https://nelson.com/,119
170,,PN-000048,CONT-64254,Multi-lateral real-time time-frame,Not Started,https://www.campbell.com/,38
171,,PN-000073,CONT-29126,Cloned didactic policy,In Progress,http://arnold.com/,23
172,,PN-000034,CONT-48691,Front-line encompassing artificial intelligence,Failed,http://williams.com/,93
173,,PN-000026,CONT-40149,Advanced heuristic system engine,Not Started,https://lee.com/,209
174,,PN-000073,CONT-75444,Total systematic attitude,In Progress,https://gordon.com/,296
175,,PN-000084,CONT-43728,Reverse-engineered homogeneous matrices,Not Started,http://hernandez.com/,265
176,,PN-000093,CONT-70401,Self-enabling background structure,Failed,http://www.pena.net/,101
177,,PN-000094,CONT-32185,Programmable upward-trending portal,Not Started,https://morgan.org/,86
178,,PN-000093,CONT-34123,Optional 6thgeneration structure,Failed,https://www.shea.com/,292
179,2025-10-19,PN-000083,CONT-78674,Re-contextualized responsive methodology,Completed,http://www.miranda.net/,32
180,2025-08-14,PN-000010,CONT-10836,Cross-group modular attitude,Completed,https://villa.com/,226
181,,PN-000018,CONT-18908,Grass-roots object-oriented hierarchy,In Progress,https://www.white.com/,92
182,,PN-000002,CONT-76287,Phased eco-centric task-force,In Progress,https://www.bonilla.com/,248
183,2024-08-10,PN-000048,CONT-90980,Horizontal impactful installation,Completed,http://hunt-weber.com/,341
184,,PN-000086,CONT-96413,Multi-layered attitude-oriented software,Failed,https://rich-esparza.com/,264
185,2025-02-14,PN-000003,CONT-79758,Stand-alone analyzing support,Completed,http://www.farrell.biz/,297
186,2024-03-13,PN-000053,CONT-12192,Open-architected asynchronous definition,Completed,https://davis.info/,286
187,,PN-000093,CONT-80220,Customer-focused attitude-oriented contingency,Not Started,http://gonzalez-murphy.com/,161
188,,PN-000003,CONT-33496,Mandatory real-time matrix,Failed,http://ramirez.net/,69
189,,PN-000013,CONT-41584,Distributed methodical circuit,In Progress,http://johnson.com/,113
190,,PN-000080,CONT-56457,Optional methodical data-warehouse,Not Started,http://www.cisneros.biz/,151
191,2024-06-03,PN-000051,CONT-58896,Sharable context-sensitive artificial intelligence,Completed,http://www.sullivan-evans.info/,222
192,,PN-000059,CONT-39603,Operative multi-tasking data-warehouse,In Progress,https://www.davis.com/,168
193,2025-10-23,PN-000088,CONT-95686,Innovative composite customer loyalty,Completed,https://alvarez-barker.com/,347
194,2025-10-24,PN-000098,CONT-22255,Optional heuristic solution,Completed,https://www.logan.org/,222
195,,PN-000049,CONT-82443,Seamless client-server Graphic Interface,Failed,https://www.mosley.info/,258
196,2025-08-11,PN-000008,CONT-32463,Customizable systematic installation,Completed,https://www.harding-mathews.info/,57
197,,PN-000064,CONT-94529,Sharable optimal attitude,Failed,http://www.werner.com/,184
198,2025-01-31,PN-000073,CONT-79226,Extended grid-enabled database,Completed,http://www.cervantes-smith.com/,36
199,,PN-000030,CONT-84289,Profit-focused bottom-line standardization,In Progress,https://jenkins-bell.net/,258
200,2024-09-25,PN-000035,CONT-19744,Virtual full-range budgetary management,Completed,http://brooks-tran.com/,158
