Content_ID,Title,Type,Internal/External_Content,URL,Provider,Estimated_Learning_Minutes
CONT-74178,Persevering 6thgeneration data-warehouse,Article,Internal,https://www.freeman.biz/,Udemy,176
CONT-69113,Multi-channeled stable ability,Workshop,Internal,http://bell.net/,Skillsoft,19
CONT-73518,Synchronized zero administration open architecture,Video,Internal,http://www.nelson.org/,HarvardX,302
CONT-76248,Configurable explicit definition,Webinar,External,http://wright-gregory.biz/,HarvardX,365
CONT-74451,Optimized impactful attitude,Podcast,External,https://collins.com/,MIT OpenCourseWare,100
CONT-20835,Reduced client-driven software,Workshop,Internal,http://butler.com/,LinkedIn Learning,164
CONT-14285,Integrated attitude-oriented framework,Article,Internal,https://www.patton-bass.com/,Google,162
CONT-32047,Devolved multi-tasking intranet,Tutorial,External,https://gomez-owens.biz/,Microsoft,395
CONT-74921,Persistent 4thgeneration open architecture,Workshop,Internal,http://campos.com/,Microsoft,73
CONT-45112,Fully-configurable optimal migration,Tutorial,External,https://www.daniels.biz/,Google,436
CONT-15453,De-engineered impactful secured line,Tutorial,External,http://stevens.com/,Google,126
CONT-65725,Managed radical attitude,Course,Internal,https://rivera.net/,Pluralsight,462
CONT-14224,User-centric transitional application,Podcast,External,http://www.yang.com/,Skillsoft,456
CONT-21401,Innovative responsive function,Podcast,Internal,http://watts.org/,LinkedIn Learning,122
CONT-87060,Decentralized multi-state attitude,Webinar,External,http://www.wells.info/,Microsoft,338
CONT-66120,Object-based analyzing capability,Video,Internal,https://mcgrath-wilkins.net/,LinkedIn Learning,431
CONT-37124,Fundamental reciprocal software,Tutorial,Internal,https://www.thomas-smith.com/,Microsoft,194
CONT-79767,User-friendly stable encoding,Article,Internal,http://www.castillo-roberts.com/,Skillsoft,375
CONT-48356,Reverse-engineered modular hub,Article,External,https://wolfe-rodriguez.biz/,Google,475
CONT-99037,Optimized client-server algorithm,Tutorial,Internal,https://elliott.org/,Udemy,399
CONT-63948,Innovative 5thgeneration project,Course,External,https://www.estes-mcdonald.info/,Udemy,374
CONT-27392,Grass-roots 24/7 complexity,Video,Internal,https://www.orr-warren.net/,Skillsoft,439
CONT-42447,Cloned context-sensitive projection,Tutorial,External,http://ball.com/,MIT OpenCourseWare,87
CONT-85684,Grass-roots zero tolerance task-force,Webinar,External,https://hendricks.info/,HarvardX,207
CONT-69243,Multi-tiered methodical portal,Course,Internal,http://wolfe.org/,HarvardX,278
CONT-46467,Monitored optimal process improvement,Webinar,External,https://www.johnson.com/,MIT OpenCourseWare,264
CONT-52898,Focused bandwidth-monitored secured line,Workshop,Internal,http://alvarez.com/,edX,389
CONT-70089,Customer-focused context-sensitive superstructure,Webinar,External,https://brown.com/,edX,422
CONT-80048,Automated value-added archive,Podcast,Internal,https://welch.com/,HarvardX,437
CONT-37767,Total local implementation,Podcast,External,http://www.king.com/,Skillsoft,439
CONT-47171,Face-to-face dedicated support,Article,Internal,http://stokes.com/,Microsoft,451
CONT-73614,Expanded 5thgeneration workforce,Tutorial,External,http://www.schroeder-carroll.com/,Coursera,38
